YEAR,MONTH,DAY,PM25
2022,3,4,4.6
2022,3,7,42.0
2022,3,8,55.0
2022,3,9,24.3
2022,3,10,73.7
2022,3,11,85.2
2022,3,12,39.1
2022,3,13,3.7
2022,3,14,7.9
2022,3,15,10.3
2022,3,16,5.9
2022,3,17,52.4
2022,3,18,85.0
2022,3,19,22.5
2022,3,20,6.2
2022,3,21,13.4
2022,3,22,88.0
2022,3,23,172.3
2022,3,24,9.0
2022,3,25,6.8
2022,3,26,5.9
2022,3,27,14.2
2022,3,28,15.5
2022,3,29,40.0
2022,3,30,36.3
2022,3,31,22.5
2022,4,1,80.7
2022,4,2,76.9
2022,4,3,55.0
2022,4,4,42.3
2022,4,5,36.3
2022,4,6,20.6
2022,4,7,82.8
2022,4,8,19.9
2022,4,9,3.1
2022,4,10,6.9
2022,4,11,32.1
2022,4,12,55.9
2022,4,13,25.2
2022,4,18,37.1
2022,4,19,28.2
2022,4,20,36.8
2022,4,21,49.8
2022,4,22,15.9
2022,4,23,26.2
2022,4,24,25.8
2022,4,25,40.6
2022,4,26,12.7
2022,4,27,6.7
2022,4,28,12.3
2022,4,29,26.1
2022,4,30,45.1
2022,5,1,34.3
2022,5,2,32.0
2022,5,3,44.2
2022,5,4,46.7
2022,5,5,28.9
2022,5,6,27.2
2022,5,7,38.7
2022,5,8,36.3
2022,5,9,39.7
2022,5,10,37.0
2022,5,11,26.4
2022,5,12,18.7
2022,5,13,17.9
2022,5,16,61.4
2022,5,17,42.0
2022,5,18,45.0
2022,5,19,48.4
2022,5,20,49.0
2022,5,21,25.4
2022,5,22,23.4
2022,5,23,31.3
2022,5,25,28.1
2022,5,26,35.1
2022,5,27,33.7
2022,5,28,40.2
2022,5,29,27.1
2022,5,30,42.9
2022,5,31,20.2
2022,6,1,15.0
2022,6,2,13.3
2022,6,3,24.9
2022,6,4,27.4
2022,6,5,21.9
2022,6,6,26.5
2022,6,7,32.1
2022,6,8,22.9
2022,6,9,24.3
2022,6,10,18.0
2022,6,11,17.6
2022,6,12,8.1
2022,6,13,17.0
2022,6,14,15.4
2022,6,15,11.1
2022,6,16,9.4
2022,6,17,8.8
2022,6,18,34.6
2022,6,19,30.3
2022,6,20,51.6
2022,6,21,16.6
2022,6,22,9.9
2022,6,23,12.6
2022,6,24,11.8
2022,6,25,10.7
2022,6,26,18.5
2022,6,27,10.8
2022,6,28,9.7
2022,6,29,7.2
2022,6,30,7.1
2022,7,1,9.3
2022,7,2,5.3
2022,7,3,6.5
2022,7,4,9.0
2022,7,5,7.1
2022,7,6,10.7
2022,7,7,9.5
2022,7,8,9.0
2022,7,9,7.4
2022,7,10,6.5
2022,7,11,14.7
2022,7,12,13.6
2022,7,13,19.3
2022,7,14,12.5
2022,7,15,14.7
2022,7,16,12.9
2022,7,17,9.4
2022,7,18,6.7
2022,7,19,6.9
2022,7,20,10.7
2022,7,21,12.3
2022,7,22,8.4
2022,7,23,19.6
2022,7,24,9.2
2022,7,25,10.6
2022,7,26,12.2
2022,7,27,28.2
2022,7,28,10.1
2022,7,29,12.2
2022,7,30,10.6
2022,7,31,9.0
2022,8,1,6.4
2022,8,2,7.0
2022,8,3,12.3
2022,8,4,13.9
2022,8,5,10.8
2022,8,6,9.9
2022,8,7,5.1
2022,8,8,7.4
2022,8,9,6.4
2022,8,10,7.7
2022,8,11,20.6
2022,8,12,23.0
2022,8,13,23.4
2022,8,14,19.4
2022,8,15,52.3
2022,8,16,49.3
2022,8,17,10.9
2022,8,18,16.9
2022,8,19,12.4
2022,8,20,14.6
2022,8,21,6.2
2022,8,22,16.7
2022,8,23,9.6
2022,8,24,18.4
2022,8,25,61.9
2022,8,26,66.9
2022,8,27,18.5
2022,8,29,54.0
2022,8,30,27.4
2022,8,31,27.7
2022,9,1,16.0
2022,9,2,37.0
2022,9,3,29.8
2022,9,4,8.6
2022,9,5,24.8
2022,9,6,21.8
2022,9,7,38.8
2022,9,8,43.1
2022,9,9,29.6
2022,9,10,53.1
2022,9,11,42.8
2022,9,12,104.3
2022,9,13,80.1
2022,9,14,20.6
2022,9,15,33.9
2022,9,16,51.0
2022,9,17,49.6
2022,9,18,37.3
