"Time","Particulas_PM25"
2022-03-04 11:51:35,6 μg/m³
2022-03-04 11:56:35,3 μg/m³
2022-03-04 12:01:36,4 μg/m³
2022-03-04 12:06:36,4 μg/m³
2022-03-04 12:11:36,3 μg/m³
2022-03-04 12:16:36,3 μg/m³
2022-03-04 12:21:36,4 μg/m³
2022-03-04 12:26:37,3 μg/m³
2022-03-04 12:31:37,4 μg/m³
2022-03-04 12:36:37,4 μg/m³
2022-03-04 12:41:37,4 μg/m³
2022-03-04 12:46:38,5 μg/m³
2022-03-04 12:51:38,4 μg/m³
2022-03-04 12:56:38,6 μg/m³
2022-03-04 13:01:38,6 μg/m³
2022-03-04 13:06:39,5 μg/m³
2022-03-04 13:11:39,6 μg/m³
2022-03-04 13:16:39,6 μg/m³
2022-03-04 13:21:39,6 μg/m³
2022-03-04 13:26:39,7 μg/m³
2022-03-07 04:24:04,24 μg/m³
2022-03-07 04:29:04,20 μg/m³
2022-03-07 04:34:04,14 μg/m³
2022-03-07 04:39:04,14 μg/m³
2022-03-07 04:44:05,14 μg/m³
2022-03-07 04:49:05,20 μg/m³
2022-03-07 04:54:05,15 μg/m³
2022-03-07 04:59:05,18 μg/m³
2022-03-07 05:04:05,17 μg/m³
2022-03-07 05:09:05,14 μg/m³
2022-03-07 05:14:06,15 μg/m³
2022-03-07 05:19:06,18 μg/m³
2022-03-07 05:24:06,16 μg/m³
2022-03-07 05:29:06,20 μg/m³
2022-03-07 05:34:06,19 μg/m³
2022-03-07 05:39:07,18 μg/m³
2022-03-07 05:44:07,14 μg/m³
2022-03-07 05:49:07,16 μg/m³
2022-03-07 05:54:07,19 μg/m³
2022-03-07 05:59:07,16 μg/m³
2022-03-07 06:04:08,18 μg/m³
2022-03-07 06:09:08,17 μg/m³
2022-03-07 06:14:08,19 μg/m³
2022-03-07 06:19:08,18 μg/m³
2022-03-07 06:24:08,20 μg/m³
2022-03-07 06:29:09,20 μg/m³
2022-03-07 06:34:09,22 μg/m³
2022-03-07 06:39:09,21 μg/m³
2022-03-07 06:44:09,21 μg/m³
2022-03-07 06:49:09,19 μg/m³
2022-03-07 06:54:10,19 μg/m³
2022-03-07 06:59:10,18 μg/m³
2022-03-07 07:04:10,19 μg/m³
2022-03-07 07:09:10,20 μg/m³
2022-03-07 07:14:10,20 μg/m³
2022-03-07 07:19:11,18 μg/m³
2022-03-07 07:24:11,18 μg/m³
2022-03-07 07:29:11,19 μg/m³
2022-03-07 07:34:11,17 μg/m³
2022-03-07 07:39:11,18 μg/m³
2022-03-07 07:44:12,22 μg/m³
2022-03-07 07:49:12,22 μg/m³
2022-03-07 07:54:12,20 μg/m³
2022-03-07 07:59:12,23 μg/m³
2022-03-07 08:04:12,23 μg/m³
2022-03-07 08:09:13,24 μg/m³
2022-03-07 08:14:13,26 μg/m³
2022-03-07 08:19:13,23 μg/m³
2022-03-07 08:24:13,24 μg/m³
2022-03-07 08:29:14,26 μg/m³
2022-03-07 08:34:14,25 μg/m³
2022-03-07 08:39:14,24 μg/m³
2022-03-07 08:44:14,24 μg/m³
2022-03-07 08:49:14,24 μg/m³
2022-03-07 08:54:15,26 μg/m³
2022-03-07 08:59:15,24 μg/m³
2022-03-07 09:04:15,24 μg/m³
2022-03-07 09:09:15,24 μg/m³
2022-03-07 09:14:15,24 μg/m³
2022-03-07 09:19:16,23 μg/m³
2022-03-07 09:24:16,23 μg/m³
2022-03-07 09:29:16,22 μg/m³
2022-03-07 09:34:16,21 μg/m³
2022-03-07 09:39:17,25 μg/m³
2022-03-07 09:44:17,24 μg/m³
2022-03-07 09:49:17,22 μg/m³
2022-03-07 09:54:17,28 μg/m³
2022-03-07 09:59:17,27 μg/m³
2022-03-07 10:04:18,23 μg/m³
2022-03-07 10:09:18,29 μg/m³
2022-03-07 10:14:18,29 μg/m³
2022-03-07 10:19:18,30 μg/m³
2022-03-07 10:24:18,32 μg/m³
2022-03-07 10:29:19,32 μg/m³
2022-03-07 10:34:19,33 μg/m³
2022-03-07 10:39:19,35 μg/m³
2022-03-07 10:44:20,37 μg/m³
2022-03-07 10:49:20,38 μg/m³
2022-03-07 10:54:20,37 μg/m³
2022-03-07 10:59:20,46 μg/m³
2022-03-07 11:04:20,41 μg/m³
2022-03-07 11:09:21,41 μg/m³
2022-03-07 11:14:21,41 μg/m³
2022-03-07 11:19:21,46 μg/m³
2022-03-07 11:24:21,45 μg/m³
2022-03-07 11:29:22,51 μg/m³
2022-03-07 11:34:22,51 μg/m³
2022-03-07 11:39:22,53 μg/m³
2022-03-07 11:44:22,59 μg/m³
2022-03-07 11:49:22,55 μg/m³
2022-03-07 11:54:23,52 μg/m³
2022-03-07 11:59:23,50 μg/m³
2022-03-07 12:04:23,52 μg/m³
2022-03-07 12:09:23,54 μg/m³
2022-03-07 12:14:24,56 μg/m³
2022-03-07 12:19:24,55 μg/m³
2022-03-07 12:24:24,57 μg/m³
2022-03-07 12:29:24,64 μg/m³
2022-03-07 12:34:24,68 μg/m³
2022-03-07 12:39:25,74 μg/m³
2022-03-07 12:44:35,77 μg/m³
2022-03-07 12:49:45,73 μg/m³
2022-03-07 12:54:45,67 μg/m³
2022-03-07 12:59:56,78 μg/m³
2022-03-07 13:05:06,77 μg/m³
2022-03-07 13:10:16,77 μg/m³
2022-03-07 13:15:26,75 μg/m³
2022-03-07 13:20:37,74 μg/m³
2022-03-07 13:25:47,80 μg/m³
2022-03-07 13:30:57,94 μg/m³
2022-03-07 13:36:07,105 μg/m³
2022-03-07 13:41:17,86 μg/m³
2022-03-07 13:46:28,97 μg/m³
2022-03-07 13:51:38,95 μg/m³
2022-03-07 13:56:48,100 μg/m³
2022-03-07 14:01:58,99 μg/m³
2022-03-07 14:07:08,101 μg/m³
2022-03-07 14:12:19,104 μg/m³
2022-03-07 14:17:29,109 μg/m³
2022-03-07 14:22:39,98 μg/m³
2022-03-07 14:27:50,104 μg/m³
2022-03-07 14:33:00,107 μg/m³
2022-03-07 14:38:10,101 μg/m³
2022-03-07 14:43:20,101 μg/m³
2022-03-07 14:48:30,100 μg/m³
2022-03-07 14:53:41,104 μg/m³
2022-03-07 14:58:51,102 μg/m³
2022-03-08 04:34:58,44 μg/m³
2022-03-08 04:39:59,42 μg/m³
2022-03-08 04:43:20,44 μg/m³
2022-03-08 04:44:20,44 μg/m³
2022-03-08 04:45:20,41 μg/m³
2022-03-08 04:46:21,39 μg/m³
2022-03-08 04:47:21,41 μg/m³
2022-03-08 04:48:21,42 μg/m³
2022-03-08 04:49:27,43 μg/m³
2022-03-08 04:54:28,37 μg/m³
2022-03-08 04:59:28,35 μg/m³
2022-03-08 05:04:28,34 μg/m³
2022-03-08 05:09:28,33 μg/m³
2022-03-08 05:14:28,33 μg/m³
2022-03-08 05:19:29,26 μg/m³
2022-03-08 05:24:29,25 μg/m³
2022-03-08 05:29:29,29 μg/m³
2022-03-08 05:34:29,30 μg/m³
2022-03-08 05:39:30,29 μg/m³
2022-03-08 05:44:30,27 μg/m³
2022-03-08 05:49:30,22 μg/m³
2022-03-08 05:54:30,18 μg/m³
2022-03-08 05:59:31,14 μg/m³
2022-03-08 06:04:31,17 μg/m³
2022-03-08 06:09:31,19 μg/m³
2022-03-08 06:14:31,21 μg/m³
2022-03-08 06:19:32,18 μg/m³
2022-03-08 06:24:32,14 μg/m³
2022-03-08 06:29:32,16 μg/m³
2022-03-08 06:34:33,15 μg/m³
2022-03-08 06:39:33,15 μg/m³
2022-03-08 06:44:33,16 μg/m³
2022-03-08 06:49:33,16 μg/m³
2022-03-08 06:54:33,15 μg/m³
2022-03-08 06:59:34,14 μg/m³
2022-03-08 07:04:34,14 μg/m³
2022-03-08 07:44:41,16 μg/m³
2022-03-08 07:49:41,16 μg/m³
2022-03-08 07:54:41,18 μg/m³
2022-03-08 07:59:42,17 μg/m³
2022-03-08 08:04:42,21 μg/m³
2022-03-08 08:09:42,16 μg/m³
2022-03-08 08:14:42,17 μg/m³
2022-03-08 08:19:42,16 μg/m³
2022-03-08 08:24:43,21 μg/m³
2022-03-08 08:29:43,15 μg/m³
2022-03-08 08:34:43,14 μg/m³
2022-03-08 08:39:43,27 μg/m³
2022-03-08 08:44:43,30 μg/m³
2022-03-08 08:49:44,29 μg/m³
2022-03-08 08:54:44,29 μg/m³
2022-03-08 08:59:44,27 μg/m³
2022-03-08 09:04:44,29 μg/m³
2022-03-08 09:09:44,29 μg/m³
2022-03-08 09:14:45,24 μg/m³
2022-03-08 09:19:45,29 μg/m³
2022-03-08 09:24:45,27 μg/m³
2022-03-08 09:29:45,29 μg/m³
2022-03-08 09:34:46,30 μg/m³
2022-03-08 09:39:46,35 μg/m³
2022-03-08 09:44:46,35 μg/m³
2022-03-08 09:49:46,33 μg/m³
2022-03-08 09:54:46,41 μg/m³
2022-03-08 09:59:47,40 μg/m³
2022-03-08 10:04:47,33 μg/m³
2022-03-08 10:09:47,37 μg/m³
2022-03-08 10:14:47,45 μg/m³
2022-03-08 10:19:48,41 μg/m³
2022-03-08 10:24:48,34 μg/m³
2022-03-08 10:29:48,30 μg/m³
2022-03-08 10:34:48,33 μg/m³
2022-03-08 10:39:49,35 μg/m³
2022-03-08 10:44:49,20 μg/m³
2022-03-08 10:49:49,27 μg/m³
2022-03-08 10:54:49,24 μg/m³
2022-03-08 10:59:50,30 μg/m³
2022-03-08 11:04:50,29 μg/m³
2022-03-08 11:09:50,32 μg/m³
2022-03-08 11:14:51,35 μg/m³
2022-03-08 11:19:51,37 μg/m³
2022-03-08 11:24:51,36 μg/m³
2022-03-08 11:29:51,43 μg/m³
2022-03-08 11:34:51,40 μg/m³
2022-03-08 11:39:52,45 μg/m³
2022-03-08 11:44:52,38 μg/m³
2022-03-08 11:49:52,40 μg/m³
2022-03-08 11:54:52,52 μg/m³
2022-03-08 11:59:52,50 μg/m³
2022-03-08 12:04:53,51 μg/m³
2022-03-08 12:09:53,42 μg/m³
2022-03-08 12:14:53,45 μg/m³
2022-03-08 12:19:53,51 μg/m³
