PERIOD,PM25_MEAN,ALTAS_MENS,ACUMULADO,ANIO,MES_NUM
2022-01-01,30.279641577060932,8823,950230,2022,1
2022-02-01,25.75646422820336,8520,958750,2022,2
2022-03-01,36.21923076923077,9019,967769,2022,3
2022-04-01,34.65384615384615,8897,976666,2022,4
2022-05-01,35.042857142857144,9418,986084,2022,5
2022-06-01,18.17,10737,996821,2022,6
2022-07-01,11.100000000000001,8676,1005497,2022,7
2022-08-01,21.233333333333334,8900,1014397,2022,8
2022-09-01,29.65,7911,1022308,2022,9
2022-10-01,26.287096774193547,6390,1028698,2022,10
2022-11-01,20.223333333333336,7057,1035755,2022,11
2022-12-01,22.383870967741935,7193,1042948,2022,12
2023-01-01,29.364516129032257,9138,1052086,2023,1
2023-02-01,17.81304347826087,9418,1061504,2023,2
2023-03-01,39.9741935483871,9325,1070829,2023,3
2023-04-01,62.96,6914,1077743,2023,4
2023-05-01,60.20322580645161,8552,1086295,2023,5
2023-06-01,38.16206896551724,9585,1095880,2023,6
2023-07-01,12.48709677419355,10340,1106220,2023,7
2023-08-01,15.129032258064516,9519,1115739,2023,8
2023-09-01,13.486666666666668,9075,1124814,2023,9
2023-10-01,11.748387096774193,8090,1132904,2023,10
2023-11-01,15.563333333333333,10544,1143448,2023,11
2023-12-01,42.9483870967742,10862,1154310,2023,12
2024-01-01,49.167741935483875,8528,1162838,2024,1
2024-02-01,44.077777777777776,12371,1175209,2024,2
2024-03-01,92.74838709677418,8836,1184045,2024,3
2024-04-01,93.00666666666666,10369,1194414,2024,4
2024-05-01,93.15161290322581,11840,1206254,2024,5
2024-06-01,34.53666666666666,9361,1215615,2024,6
2024-07-01,12.02258064516129,11098,1226713,2024,7
2024-08-01,11.264516129032257,11333,1238046,2024,8
2024-09-01,28.553333333333335,11776,1249822,2024,9
2024-10-01,20.538709677419355,11808,1261630,2024,10
2024-11-01,15.356666666666666,11572,1273202,2024,11
2024-12-01,9.348387096774195,11415,1284617,2024,12
2025-01-01,12.306666666666667,13984,1298601,2025,1
2025-02-01,15.37857142857143,10741,1309342,2025,2
2025-03-01,32.4741935483871,12262,1321604,2025,3
2025-04-01,25.186666666666667,10015,1331619,2025,4
2025-05-01,47.980645161290326,12087,1343706,2025,5
2025-06-01,17.91,9605,1353311,2025,6
2025-07-01,8.293548387096775,13623,1366934,2025,7
2025-08-01,15.629032258064516,12178,1379112,2025,8
2025-09-01,24.186666666666667,11690,1390802,2025,9
2025-10-01,15.880645161290323,11142,1401944,2025,10
2025-11-01,12.773333333333333,9010,1410954,2025,11
2025-12-01,51.59032258064516,18045,1428999,2025,12
