YEAR,MONTH,MEDIA_PM25
2022,3,36.21923076923077
2022,4,34.65384615384615
2022,5,35.042857142857144
2022,6,18.17
2022,7,11.100000000000001
2022,8,21.233333333333334
2022,9,29.65
2022,10,26.287096774193547
2022,11,20.223333333333336
2022,12,22.383870967741935
2023,1,29.364516129032257
2023,2,17.81304347826087
2023,3,39.9741935483871
2023,4,62.96
2023,5,60.20322580645161
2023,6,38.16206896551724
2023,7,12.48709677419355
2023,8,15.129032258064516
2023,9,13.486666666666668
2023,10,11.748387096774193
2023,11,15.563333333333333
2023,12,42.9483870967742
2024,1,49.167741935483875
2024,2,44.077777777777776
2024,3,92.74838709677418
2024,4,93.00666666666666
2024,5,93.15161290322581
2024,6,34.53666666666666
2024,7,12.02258064516129
2024,8,11.264516129032257
2024,9,28.553333333333335
2024,10,20.538709677419355
2024,11,15.356666666666666
2024,12,9.348387096774195
2025,1,12.306666666666667
2025,2,15.37857142857143
2025,3,32.4741935483871
2025,4,25.186666666666667
2025,5,47.980645161290326
2025,6,17.91
2025,7,8.293548387096775
2025,8,15.629032258064516
2025,9,24.186666666666667
2025,10,15.880645161290323
2025,11,12.773333333333333
2025,12,51.59032258064516
